Loading core dump: C:\WAVEE\WaveeMusic\.tmp-dumps\ui-20260517-212245.dmp ...
         Address               MT           Size
    01a07f82a1b8     7ffc4890c038             48 
    01a07f89f680     7ffc4890c038             48 
    01a07f8a7a48     7ffc4890c038             48 
    01a07f8aea00     7ffc4890c038             48 
    01a07f91c280     7ffc4890c038             48 
    01a07f923628     7ffc4890c038             48 
    01a07f92a5e8     7ffc4890c038             48 
    01a07f964588     7ffc4890c038             48 
    01a07f965918     7ffc4890c038             48 
    01a07f966ca8     7ffc4890c038             48 
    01a07f968038     7ffc4890c038             48 
    01a07fafa170     7ffc4890c038             48 
    01a07fb15610     7ffc4890c038             48 
    01a07fb26a48     7ffc4890c038             48 
    01a07fb29288     7ffc4890c038             48 
    01a07fb2b090     7ffc4890c038             48 
    01a07fb44a08     7ffc4890c038             48 
    01a07fb55e40     7ffc4890c038             48 
    01a07fb67278     7ffc4890c038             48 
    01a07fb786b0     7ffc4890c038             48 
    01a07fb99f30     7ffc4890c038             48 
    01a07fba1548     7ffc4890c038             48 
    01a07fba25a8     7ffc4890c038             48 
    01a07fba9998     7ffc4890c038             48 
    01a08003a290     7ffc4890c038             48 
    01a080041788     7ffc4890c038             48 
    01a080048c98     7ffc4890c038             48 
    01a0800501c8     7ffc4890c038             48 
    01a080058e38     7ffc4890c038             48 
    01a080060330     7ffc4890c038             48 
    01a080067910     7ffc4890c038             48 
    01a08006ee20     7ffc4890c038             48 
    01a080076400     7ffc4890c038             48 
    01a08007f1d0     7ffc4890c038             48 
    01a080409088     7ffc4890c038             48 
    01a080411c30     7ffc4890c038             48 
    01a08041b360     7ffc4890c038             48 
    01a080423dd8     7ffc4890c038             48 
    01a08043dba8     7ffc4890c038             48 
    01a080446850     7ffc4890c038             48 
    01a080874990     7ffc4890c038             48 
    01a080884880     7ffc4890c038             48 
    01a0808917b8     7ffc4890c038             48 
    01a080898ca0     7ffc4890c038             48 
    01a0808a0188     7ffc4890c038             48 
    01a0808a7670     7ffc4890c038             48 
    01a0808aeb58     7ffc4890c038             48 
    01a0808b6638     7ffc4890c038             48 
    01a0808bd9b0     7ffc4890c038             48 
    01a0808c4d28     7ffc4890c038             48 
    01a0808cc0a0     7ffc4890c038             48 
    01a0808d6160     7ffc4890c038             48 
    01a0808e3b78     7ffc4890c038             48 
    01a0808ebbd0     7ffc4890c038             48 
    01a080c08f00     7ffc4890c038             48 
    01a080c5e310     7ffc4890c038             48 
    01a080c7a4d0     7ffc4890c038             48 
    01a080c96d88     7ffc4890c038             48 
    01a080c9fa18     7ffc4890c038             48 
    01a080ca85a8     7ffc4890c038             48 
    01a081007778     7ffc4890c038             48 
    01a081042b08     7ffc4890c038             48 
    01a081049b10     7ffc4890c038             48 
    01a0810553f0     7ffc4890c038             48 
    01a08105c2b8     7ffc4890c038             48 
    01a081063490     7ffc4890c038             48 
    01a081111ef8     7ffc4890c038             48 
    01a081148db0     7ffc4890c038             48 
    01a081154560     7ffc4890c038             48 
    01a081160010     7ffc4890c038             48 
    01a08116b5b0     7ffc4890c038             48 
    01a0811b8260     7ffc4890c038             48 
    01a0811bf5b8     7ffc4890c038             48 
    01a0811c8d28     7ffc4890c038             48 
    01a0811d4558     7ffc4890c038             48 
    01a081275ac8     7ffc4890c038             48 
    01a08127d488     7ffc4890c038             48 
    01a081359758     7ffc4890c038             48 
    01a081360ca0     7ffc4890c038             48 
    01a0813af918     7ffc4890c038             48 
    01a0813b6c90     7ffc4890c038             48 
    01a0813bf580     7ffc4890c038             48 
    01a0813cba50     7ffc4890c038             48 
    01a0813d2858     7ffc4890c038             48 
