Loading core dump: C:\WAVEE\WaveeMusic\.tmp-dumps\ui-20260517-212245.dmp ...
Statistics:
          MT   Count TotalSize Class Name
7ffc47d6df58       1        24 System.Reflection.Metadata.TypeNameParseOptions
7ffc48de6638       1        24 Windows.Win32.Foundation.PCWSTR
7ffc496670d0       1        24 Wavee.Controls.Lyrics.Models.Keyframe<System.Double>[]
7ffc49669960       1        24 Wavee.Controls.Lyrics.Models.Keyframe<Windows.UI.Color>[]
7ffc49900f78       1        24 System.Security.Cryptography.X509Certificates.X509ChainStatus[]
7ffc47daa070       1        24 Windows.Foundation.Size
7ffc486eb830       1        24 System.Nullable<System.Runtime.GCLatencyMode>
7ffc499d1ea8       1        24 Wavee.Protocol.Fingerprint[]
7ffc499d2de8       1        24 Wavee.Protocol.Cryptosuite[]
7ffc499d3ba0       1        24 Wavee.Protocol.Powscheme[]
7ffc499d46b0       1        24 Wavee.Protocol.ProductFlags[]
7ffc49dee0c0       1        24 Wavee.Protocol.Login.LoginResponse+Types+Warnings[]
7ffc4a67da70       1        24 Newtonsoft.Json.JsonPosition[]
7ffc4a886510       1        24 Wavee.Core.Http.ExtendedMetadataClient+EntityUpsertArgs[]
7ffc4b06dfb8       1        24 Google.Protobuf.JsonTokenizer+JsonTextTokenizer+ContainerType[]
7ffc4b0d8618       1        24 Wavee.Protocol.Playlist.GeoblockBlockingType[]
7ffc4b199308       1        24 Wavee.Protocol.Playlist.PermissionLevel[]
7ffc4cae4cb8       1        24 Wavee.UI.Helpers.SpotifyHtmlToken[]
7ffc4d96ab58       1        24 Wavee.Protocol.DescriptorExtension.ExtensionDescriptorType[]
7ffc4db46960       1        24 Wavee.Protocol.Metadata.Restriction+Types+Catalogue[]
7ffc49816180       1        24 ABI.Microsoft.UI.Xaml.Controls.AutoSuggestBoxRcwFactoryAttribute
7ffc4a88dde8       1        24 System.Collections.Generic.ObjectEqualityComparer<System.Byte[]>
7ffc489488d8       1        24 Wavee.UI.WinUI.Controls.Shelf.SectionShelf+<>c
