artist.albums	none	Albums
artist.appearsOn	none	Appears on
artist.artistPick	none	Artist pick
artist.artistRadio	none	Artist radio
artist.biography	none	Biography
artist.buy	none	Buy
artist.compilations	none	Compilations
artist.discoCountAlbum	plural	{n, plural, one {# album} other {# albums}}
artist.discoCountCompilation	plural	{n, plural, one {# compilation} other {# compilations}}
artist.discoCountRelease	plural	{n, plural, one {# release} other {# releases}}
artist.discoCountSingle	plural	{n, plural, one {# single} other {# singles}}
artist.discoReleases	none	Releases
artist.fallbackName	none	Artist
artist.feat	none	feat.
artist.follow	none	Follow
artist.following	none	Following
artist.gallery	none	Gallery
artist.galleryAllFiles	none	All files
artist.galleryExport	none	Export image
artist.galleryExportFailed	none	Image export failed: {error}
artist.galleryExportTitle	none	Export gallery image
artist.galleryExported	none	Image exported
artist.galleryExporting	none	Exporting…
artist.galleryImages	none	Images
artist.latestRelease	none	Latest release
artist.listenedMostIn	none	Listened to most in
artist.merch	none	Merch
artist.metaFollowers	none	followers
artist.metaMonthly	none	monthly listeners
artist.musicVideos	none	Music videos
artist.play	none	Play
artist.playlistsDiscovery	none	Playlists and discovery
artist.popular	none	Popular
artist.profileFacts	none	Profile facts
artist.releaseCount	plural	{count, plural, one {# release} other {# releases}}
artist.releaseMeta	none	{date} · {count}
artist.singlesEps	none	Singles & EPs
artist.stat.albums	none	Albums
artist.stat.concerts	none	Upcoming concerts
artist.stat.followers	none	Followers
artist.stat.monthly	none	Monthly listeners
artist.stat.related	none	Related artists
artist.stat.singles	none	Singles & EPs
artist.topTracks	none	Top tracks
artist.tour.headline	none	{name} — on tour
artist.tour.onTourNow	none	On tour now
artist.tour.subline	plural	Next: {date} · {venue} · {city} · {count, plural, one {# date} other {# dates}} total
artist.tour.upcomingDates	none	Upcoming dates
artist.tour.upcomingShow	none	Upcoming show
artist.tour.upcomingTour	none	Upcoming tour
artist.trackCount	plural	{count, plural, one {# track} other {# tracks}}
artist.upcoming	none	Upcoming
artist.upcomingConcerts	none	Upcoming concerts
artist.verified	none	Verified Artist
artist.view	none	View
artist.worldRank	none	#{rank} in the world
auth.account	none	Account
auth.back	none	Back
auth.browserFailed	none	Browser sign-in failed: {error}
auth.cancel	none	Cancel
auth.close	none	Close
auth.codeExpired	none	That code expired
auth.codeExpiredBody	none	Codes are short-lived for your security.
auth.copied	none	Copied
auth.copyCode	none	Copy code
auth.couldntSignIn	none	Couldn't sign in
auth.disclaimer	none	Disclaimer: Spotify® and the Spotify logo are registered trademarks of Spotify AB. All trademarks, logos, and brand names are the property of their respective owners. Their use in this application is for identification purposes only and does not imply any endorsement or affiliation.
auth.enterCodeColon	none	and enter this code:
auth.expiresIn	none	Expires in {time}
auth.freeBadge	none	Spotify Free
auth.genericError	none	Something went wrong signing in.
auth.getNewCode	none	Get a new code
auth.gettingCode	none	Getting your code…
auth.logIn	none	Log in
auth.logOut	none	Log out
auth.logoutConfirmBody	none	You'll need to authorize Wavee again to stream your library.
auth.logoutConfirmTitle	none	Log out of Wavee?
auth.networkError	none	We couldn't reach Spotify. Check your connection and try again.
auth.open	none	Open
auth.or	none	OR
auth.orGoTo	none	Go to
auth.pairUrl	none	spotify.com/pair
auth.premiumBadge	none	Spotify Premium
auth.premiumBody	none	Wavee streams full-quality, on-demand audio, which Spotify only allows on Premium accounts. You're signed in to a Free account, so playback is blocked.
auth.premiumTitle	none	Wavee needs Spotify Premium
auth.scanToLogIn	none	Scan QR code to log in
auth.settings	none	Settings
auth.signingIn	none	Signing you in…
auth.spotifySignInWeb	none	Sign in with your Spotify® account on the Spotify® website
auth.stepAudio	none	Starting audio
auth.stepConnecting	none	Connecting to Spotify
auth.stepMetadata	none	Preparing your library
auth.stepProfile	none	Almost there
auth.tryAgain	none	Try again
auth.upgrade	none	Go to Premium
auth.useAnotherAccount	none	Use a different account
auth.waitingApproval	none	Waiting for you to authorize…
browse.charts	none	Charts
browse.exploreAll	none	Explore all categories
browse.eyebrow	none	Browse all
browse.forYou	none	For you
browse.genres	none	Genres
browse.homeSubtitle	none	Genres, moods and charts — everything Spotify is featuring right now.
browse.homeTitle	none	Browse
browse.moodActivity	none	Mood & activity
browse.more	none	More
browse.showAll	none	Show all
browse.title	none	Browse
browse.top	none	Top
browse.unavailable	none	This category isn't available right now
common.close	none	Close
common.controlledByDevice	none	Controlled by {device}
common.crashLastRun	none	Wavee crashed last time
common.developerOnly	none	Developer mode
common.offlineBanner	none	You're offline. Cached content still works; playback and edits resume when you're back.
common.openReportFolder	none	Open report folder
common.restartNow	none	Restart now
common.restartToApply	none	Applies after restart
concerts.allEvents	none	All events
concerts.allGenres	none	All
concerts.available	none	Available
concerts.browseAll	none	Browse all concerts
concerts.detail.ages	none	Ages {restriction}
concerts.detail.artistCount	plural	{count, plural, one {# artist} other {# artists}}
concerts.detail.artistFallback	none	Artist
concerts.detail.buyTickets	none	Buy tickets
concerts.detail.concert	none	Concert
concerts.detail.doorsOpen	none	Doors open {time}
concerts.detail.lineup	none	Lineup
concerts.detail.notAvailable	none	Concert not available
concerts.detail.notAvailableSubtitle	none	This event may have been removed or is no longer listed.
concerts.detail.onSaleFrom	none	On sale from {start}
concerts.detail.onSaleRange	none	On sale {start} - {end}
concerts.detail.onSaleUntil	none	On sale until {end}
concerts.detail.relatedConcerts	none	Related concerts
concerts.detail.ticketProvider	none	Ticket provider
concerts.detail.tickets	none	Tickets
concerts.detail.ticketsUnavailable	none	Tickets not available online
concerts.emptyForLocation	none	Nothing is on sale for this location right now. Try another place or category.
concerts.emptyTitle	none	No concerts found
concerts.emptyWithoutLocation	none	Set your location to discover live music near you.
concerts.explore	none	Explore concerts
concerts.fallbackTitle	none	Concert
concerts.filter.allOf	none	All of {month}
concerts.filter.anytime	none	Anytime
concerts.filter.clear	none	Clear
concerts.filter.custom	none	Custom
concerts.filter.dates	none	Dates
concerts.filter.events	none	events
concerts.filter.filterBy	none	Filter by
concerts.filter.moreGenres	none	+{count} genres
concerts.filter.nextWeekend	none	Next weekend
concerts.filter.showEvents	none	Show events
concerts.filter.showLess	none	Show less
concerts.filter.thisWeekend	none	This weekend
concerts.filter.today	none	Today
concerts.filter.weekend	none	Weekend
concerts.filter.whereRadius	none	{place} · {km} km
concerts.filter.withinKm	none	Within {km} km
concerts.genre	none	Genre
concerts.genreFallback	none	Genre
concerts.homeSubtitle	none	Tour dates, tickets, and shows from artists you love.
concerts.homeTitle	none	Concerts near you
concerts.liveMusic	none	Live music
concerts.location.failed	none	We couldn't get your location. Search for a city instead.
concerts.location.invalid	none	That location can't be saved. Try another.
concerts.location.locating	none	Locating…
concerts.location.lookupFailed	none	Couldn't look up your location. Search for a city instead.
concerts.location.noMatches	none	No matching places for your location. Try searching for a city instead.
concerts.location.noneFound	none	No locations found
concerts.location.permissionDenied	none	Location access is off. Turn it on in Windows Settings, or search for a city instead.
concerts.location.saveFailed	none	Couldn't save that location. Try again.
concerts.location.searchCities	none	Search cities
concerts.location.searchFailed	none	Search failed. Check your connection and try again.
concerts.location.searching	none	Searching…
concerts.location.set	none	Set location
concerts.location.timedOut	none	Finding your location took too long. Try again, or search for a city.
concerts.location.unavailable	none	Your location isn't available right now. Search for a city instead.
concerts.location.useMine	none	Use my location
concerts.nearApproximate	none	Near {place} (approximate)
concerts.nearYou	none	Near you
concerts.playlistsForScene	none	Playlists for the scene
concerts.recommendedForYou	none	Recommended for you
concerts.schedule.cityCount	plural	{count, plural, one {# city} other {# cities}}
concerts.schedule.nextShow	none	Next show · {relativeTime}
concerts.schedule.nights	plural	{count, plural, one {# night} other {# nights}}
concerts.schedule.noMoreDates	none	No other dates near you
concerts.schedule.noMoreDatesSubtitle	none	That's every show on sale for this location right now. Try another location to see the rest of the tour.
concerts.schedule.noUpcoming	none	No upcoming concerts
concerts.schedule.noUpcomingSubtitle	none	There are no dates on sale right now. Try a different location or check back later.
concerts.schedule.onTour	none	On tour
concerts.schedule.relative.days	plural	{count, plural, one {in # day} other {in # days}}
concerts.schedule.relative.months	plural	{count, plural, one {in # month} other {in # months}}
concerts.schedule.relative.today	none	today
concerts.schedule.relative.tomorrow	none	tomorrow
concerts.schedule.relative.weeks	plural	{count, plural, one {in # week} other {in # weeks}}
concerts.schedule.showAll	none	Show all {count}
concerts.schedule.showCount	plural	{count, plural, one {# show} other {# shows}}
concerts.schedule.support.more	plural	{count, plural, one {with {first}, {second} +# more} other {with {first}, {second} +# more}}
concerts.schedule.support.one	none	with {first}
concerts.schedule.support.two	none	with {first}, {second}
concerts.schedule.tourDates	none	Tour dates
concerts.schedule.viewEvent	none	View event
concerts.setLocation	none	Set location
concerts.soldOut	none	Sold out or unavailable
concerts.subtitle	none	Live shows, festival dates, and artists playing near you.
concerts.title	none	Concerts
crash.body	none	Wavee crashed.
crash.logLine	none	Log: {path}
crash.openFolderQuestion	none	Open the report folder now?
crash.reportLine	none	Crash report: {path}
crash.title	none	Oops! Wavee crashed
detail.aboutRelease	none	About this release
detail.aboutTheArtist	none	About the artist
detail.access.privateCaption	none	Only you and collaborators
detail.access.publicCaption	none	Anyone can find and view
detail.addToPlaylist	none	Add to playlist
detail.addToQueue	none	Add to queue
detail.addedFirstToQueue	none	Added the first {count} to queue
detail.addedToPlaylist	none	Added to {name}
detail.addedToQueue	none	Added {count} to queue
detail.badge.album	none	ALBUM
detail.badge.compilation	none	COMPILATION
detail.badge.ep	none	EP
detail.badge.episode	none	EPISODE
detail.badge.explicit	none	EXPLICIT
detail.badge.single	none	SINGLE
detail.chartNewEntries	plural	{count, plural, one {# new entry} other {# new entries}} · {date}
detail.clearSelection	none	Clear selection
detail.collabCount	plural	{n, plural, one {# collaborator} other {# collaborators}}
detail.collabOpen	none	Open to collaboration
detail.collabView	none	View collaborators
detail.collaborator	none	Collaborator
detail.column.addedBy	none	Added by
detail.column.album	none	Album
detail.column.artist	none	Artist
detail.column.dateAdded	none	Date added
detail.column.number	none	#
detail.column.plays	none	Plays
detail.column.song	none	Song
detail.column.tempo	none	BPM · Key
detail.column.time	none	Time
detail.column.title	none	Title
detail.copyToPlaylist	none	Copy to playlist
detail.daysAgo	plural	{count, plural, one {# day ago} other {# days ago}}
detail.density.comfortable	none	Comfortable
detail.density.compact	none	Compact
detail.density.cozy	none	Cozy
detail.density.default	none	Default
detail.density.rowSize	none	Row size
detail.discography.showAllTracks	none	Show all {n} tracks
detail.durationHrMin	none	{hours} hr {minutes} min
detail.durationMin	none	{minutes} min
detail.edit.cancel	none	Cancel
detail.edit.changeCover	none	Change cover
detail.edit.collaborative	none	Collaborative playlist
detail.edit.collaborativeHint	none	Collaborators can add, remove, and reorder songs.
detail.edit.conflict	none	This playlist changed — try again.
detail.edit.copyInviteLink	none	Copy invite link
detail.edit.createFailed	none	Couldn’t create the playlist.
detail.edit.deletePlaylist	none	Delete playlist
detail.edit.deletePlaylistConfirm	none	Delete this playlist? It will be removed from your library. This cannot be undone.
detail.edit.deletedElsewhere	none	This playlist was deleted.
detail.edit.descriptionPlaceholder	none	Add an optional description
detail.edit.dropCover	none	Drop image to change cover
detail.edit.failed	none	Something went wrong. Try again.
